Id,Year,Floors,Hist,Type,Mason,Struct,Apart,DayP,NightP,Employ,Visit,VULNERAB
327,1887,2,1,2,0,0,0,0,0,0,0,A
328,1916,1,1,2,110,111,0,0,0,0,0,A
329,1916,2,0,1,110,0,0,0,0,0,0,B
331,1900,2,0,2,100,111,2,6,6,0,0,A
332,1900,7,0,1,110,10,16,41,41,0,0,B
333,1885,2,1,3,110,11,4,12,12,0,0,B
336,1916,2,1,3,110,11,6,20,20,0,0,B
338,1900,1,1,3,100,11,2,5,5,0,0,B
339,1900,2,1,3,111,11,2,3,3,0,0,B
340,1916,2,1,3,110,11,0,0,0,0,0,B
341,1920,6,0,1,110,0,27,67,67,8,200,E
342,1900,1,0,3,0,0,0,0,1,7,150,B
343,1900,1,0,4,0,0,2,6,6,0,0,B
344,1900,2,0,1,0,0,2,5,5,0,0,B
345,1900,4,0,1,0,0,0,0,0,0,0,B
346,1900,4,1,4,0,0,0,0,50,0,0,B
347,1896,1,1,6,0,0,0,0,0,0,0,D
348,1890,5,1,3,0,0,0,0,1,0,0,B
349,1841,0,1,6,0,0,0,0,0,0,0,B
350,1900,2,0,2,110,10,0,0,0,0,0,B
